Feature,Coefficient,Absolute_Coefficient
tenure,-0.0963863322011571,0.0963863322011571
PaymentMethod_Electronic check,0.08831243527214776,0.08831243527214776
PaymentMethod_Mailed check,-0.08829125776794798,0.08829125776794798
InternetService_No,-0.08622463431593948,0.08622463431593948
PhoneService,-0.0855573531160542,0.0855573531160542
Monthly_Charges_Level_Low,-0.08473597857070357,0.08473597857070357
TechSupport_Yes,-0.08122841141193309,0.08122841141193309
InternetService_Fiber optic,0.07756197361597296,0.07756197361597296
OnlineSecurity_Yes,-0.07647514728375808,0.07647514728375808
Dependents,-0.07267177762722427,0.07267177762722427
PaperlessBilling,0.06274227697615808,0.06274227697615808
Contract_Two year,-0.06146885241564262,0.06146885241564262
Contract_One year,-0.05120657111492072,0.05120657111492072
SeniorCitizen,0.050001035822920314,0.050001035822920314
Seniority_Category_1-3 Years,-0.04432394101634642,0.04432394101634642
PaymentMethod_Credit card (automatic),-0.03875853038796977,0.03875853038796977
MultipleLines_Yes,0.03776405107144496,0.03776405107144496
Seniority_Category_3-5 Years,0.0374843473060882,0.0374843473060882
gender_Male,-0.030461264956930852,0.030461264956930852
Partner,-0.029944205671296936,0.029944205671296936
OnlineBackup_Yes,-0.029545292819704923,0.029545292819704923
Monthly_Charges_Level_Medium,-0.023947384679441457,0.023947384679441457
DeviceProtection_Yes,-0.022636871485365022,0.022636871485365022
StreamingMovies_Yes,0.02101206453944431,0.02101206453944431
StreamingTV_Yes,0.014995498691571466,0.014995498691571466
MultipleLines_No phone service,0.013117003573967589,0.013117003573967589
MonthlyCharges,0.009337475278270349,0.009337475278270349
Seniority_Category_5+ Years,-0.007362360062580044,0.007362360062580044
TotalCharges,0.0005650787783309819,0.0005650787783309819
